행정표준코드5,시도,시군구,주민등록인구_2026-08,65세이상비율%,50-74세,국문관광정보,영문관광정보,영문커버율%,국문(쇼핑제외),영문(쇼핑제외),커버율_쇼핑제외%,시장명칭건수
44180,충청남도,보령시,91035,34.7,41579,170,19,11.2,166,18,10.8,3
47210,경상북도,영주시,96237,34.7,43552,145,16,11.0,135,11,8.1,5
47930,경상북도,울진군,46319,34.6,21236,95,18,18.9,92,17,18.5,3
41800,경기도,연천군,43143,34.5,19263,120,9,7.5,118,9,7.6,1
44150,충청남도,공주시,99481,34.3,44775,224,30,13.4,219,28,12.8,2
52180,전북특별자치도,정읍시,100580,34.2,44468,132,18,13.6,126,16,12.7,4
51190,강원특별자치도,태백시,36680,33.9,17091,98,8,8.2,93,7,7.5,3
51230,강원특별자치도,삼척시,60041,33.5,27237,182,29,15.9,175,26,14.9,4
12760,전남광주통합특별시,화순군,59860,33.4,26916,128,9,7.0,123,6,4.9,2
47940,경상북도,울릉군,8747,33.4,4463,73,17,23.3,73,17,23.3,0
12830,전남광주통합특별시,영광군,53719,33.1,22299,101,5,5.0,96,5,5.2,2
12800,전남광주통합특별시,영암군,49984,33.0,22561,83,12,14.5,78,11,14.1,0
26140,부산광역시,서구,100964,32.1,43271,50,11,22.0,44,9,20.5,4
26170,부산광역시,동구,83115,32.0,34876,102,37,36.3,70,9,12.9,3
51780,강원특별자치도,철원군,39598,31.1,16584,147,22,15.0,141,21,14.9,3
47170,경상북도,안동시,151343,30.9,64013,258,57,22.1,232,41,17.7,5
51790,강원특별자치도,화천군,22908,30.7,9498,103,4,3.9,101,4,4.0,1
43150,충청북도,제천시,127898,30.2,57477,246,27,11.0,234,22,9.4,3
27170,대구광역시,서구,163319,30.1,74374,37,3,8.1,30,0,0.0,3
51800,강원특별자치도,양구군,20354,29.1,8401,86,9,10.5,84,9,10.7,1
27200,대구광역시,남구,141722,28.5,57607,70,11,15.7,61,8,13.1,6
