"행정구역","2026년08월_계_총인구수","2026년08월_계_연령구간인구수","2026년08월_계_0~4세","2026년08월_계_5~9세","2026년08월_계_10~14세","2026년08월_계_15~19세","2026년08월_계_20~24세","2026년08월_계_25~29세","2026년08월_계_30~34세","2026년08월_계_35~39세","2026년08월_계_40~44세","2026년08월_계_45~49세","2026년08월_계_50~54세","2026년08월_계_55~59세","2026년08월_계_60~64세","2026년08월_계_65~69세","2026년08월_계_70~74세","2026년08월_계_75~79세","2026년08월_계_80~84세","2026년08월_계_85~89세","2026년08월_계_90~94세","2026년08월_계_95~99세","2026년08월_계_100세 이상","2026년08월_남_총인구수","2026년08월_남_연령구간인구수","2026년08월_남_0~4세","2026년08월_남_5~9세","2026년08월_남_10~14세","2026년08월_남_15~19세","2026년08월_남_20~24세","2026년08월_남_25~29세","2026년08월_남_30~34세","2026년08월_남_35~39세","2026년08월_남_40~44세","2026년08월_남_45~49세","2026년08월_남_50~54세","2026년08월_남_55~59세","2026년08월_남_60~64세","2026년08월_남_65~69세","2026년08월_남_70~74세","2026년08월_남_75~79세","2026년08월_남_80~84세","2026년08월_남_85~89세","2026년08월_남_90~94세","2026년08월_남_95~99세","2026년08월_남_100세 이상","2026년08월_여_총인구수","2026년08월_여_연령구간인구수","2026년08월_여_0~4세","2026년08월_여_5~9세","2026년08월_여_10~14세","2026년08월_여_15~19세","2026년08월_여_20~24세","2026년08월_여_25~29세","2026년08월_여_30~34세","2026년08월_여_35~39세","2026년08월_여_40~44세","2026년08월_여_45~49세","2026년08월_여_50~54세","2026년08월_여_55~59세","2026년08월_여_60~64세","2026년08월_여_65~69세","2026년08월_여_70~74세","2026년08월_여_75~79세","2026년08월_여_80~84세","2026년08월_여_85~89세","2026년08월_여_90~94세","2026년08월_여_95~99세","2026년08월_여_100세 이상"
"부산광역시 동구 (2617000000)","83,115","83,115","1,656","1,681","2,143","2,324","2,705","4,966","5,829","4,770","4,890","5,479","6,192","7,065","6,778","8,120","6,721","5,164","3,670","2,070","720","154","18","40,416","40,416","859","883","1,102","1,161","1,316","2,304","3,023","2,542","2,600","2,971","3,279","3,671","3,384","3,869","2,984","2,174","1,411","673","177","31","2","42,699","42,699","797","798","1,041","1,163","1,389","2,662","2,806","2,228","2,290","2,508","2,913","3,394","3,394","4,251","3,737","2,990","2,259","1,397","543","123","16"
"부산광역시 영도구 (2620000000)","100,170","100,170","1,470","1,888","2,893","3,305","3,865","4,520","4,568","4,112","5,178","6,521","7,649","8,763","9,027","11,126","9,435","7,254","4,893","2,700","832","158","13","49,135","49,135","764","963","1,526","1,697","2,170","2,494","2,466","2,192","2,732","3,418","3,962","4,499","4,510","5,315","4,273","3,084","1,906","906","230","28","0","51,035","51,035","706","925","1,367","1,608","1,695","2,026","2,102","1,920","2,446","3,103","3,687","4,264","4,517","5,811","5,162","4,170","2,987","1,794","602","130","13"
"부산광역시 부산진구 (2623000000)","364,184","364,184","8,905","9,066","11,994","12,595","18,430","26,887","29,626","24,725","23,750","25,098","26,657","28,660","27,594","30,758","23,414","16,555","10,837","6,227","1,985","374","47","173,838","173,838","4,508","4,618","6,018","6,248","8,556","12,492","14,853","12,693","12,240","12,684","13,179","13,891","13,018","13,980","10,577","7,166","4,351","2,146","552","65","3","190,346","190,346","4,397","4,448","5,976","6,347","9,874","14,395","14,773","12,032","11,510","12,414","13,478","14,769","14,576","16,778","12,837","9,389","6,486","4,081","1,433","309","44"
"부산광역시 동래구 (2626000000)","270,512","270,512","6,759","9,749","13,731","12,681","11,083","13,674","15,641","15,918","19,664","22,260","21,542","22,121","19,737","22,323","17,679","12,327","7,680","4,189","1,446","278","30","129,981","129,981","3,478","4,947","7,131","6,552","5,665","6,862","7,882","7,871","9,633","10,967","10,571","10,646","9,070","10,091","7,826","5,428","3,348","1,548","403","60","2","140,531","140,531","3,281","4,802","6,600","6,129","5,418","6,812","7,759","8,047","10,031","11,293","10,971","11,475","10,667","12,232","9,853","6,899","4,332","2,641","1,043","218","28"
"부산광역시 남구 (2629000000)","254,960","254,960","5,299","7,172","10,756","11,552","15,667","14,698","14,973","13,566","15,959","19,120","20,353","21,216","18,709","21,243","17,024","12,774","8,462","4,599","1,527","264","27","123,698","123,698","2,721","3,703","5,505","5,867","7,876","7,990","7,735","7,010","8,088","9,411","10,200","10,332","8,926","9,593","7,563","5,491","3,501","1,727","409","47","3","131,262","131,262","2,578","3,469","5,251","5,685","7,791","6,708","7,238","6,556","7,871","9,709","10,153","10,884","9,783","11,650","9,461","7,283","4,961","2,872","1,118","217","24"
"부산광역시 북구 (2632000000)","260,069","260,069","5,666","6,974","9,963","10,118","10,056","13,519","16,499","14,607","15,442","17,808","19,635","24,509","25,293","26,711","18,476","11,899","7,237","4,033","1,338","248","38","127,325","127,325","2,954","3,568","5,169","5,162","5,420","7,145","8,819","7,663","7,977","9,050","9,463","11,319","11,958","12,900","8,714","5,371","3,005","1,310","317","39","2","132,744","132,744","2,712","3,406","4,794","4,956","4,636","6,374","7,680","6,944","7,465","8,758","10,172","13,190","13,335","13,811","9,762","6,528","4,232","2,723","1,021","209","36"
"부산광역시 해운대구 (2635000000)","369,727","369,727","7,852","11,667","17,513","17,056","15,014","19,059","20,862","20,290","24,741","29,931","31,304","33,657","30,274","31,414","23,715","16,115","10,418","6,242","2,097","453","53","176,710","176,710","4,063","5,912","9,030","8,785","7,899","9,700","10,675","10,037","11,958","14,390","14,808","15,863","14,216","14,488","10,874","7,036","4,172","2,136","568","86","14","193,017","193,017","3,789","5,755","8,483","8,271","7,115","9,359","10,187","10,253","12,783","15,541","16,496","17,794","16,058","16,926","12,841","9,079","6,246","4,106","1,529","367","39"
"부산광역시 사하구 (2638000000)","281,184","281,184","4,706","6,726","10,687","11,722","12,732","15,133","15,666","13,854","17,262","20,635","22,206","25,697","25,136","28,218","21,338","14,240","8,714","4,661","1,515","286","50","139,185","139,185","2,359","3,508","5,454","6,023","6,840","8,185","8,511","7,454","9,020","10,738","11,134","12,581","12,167","13,242","9,990","6,347","3,650","1,567","354","55","6","141,999","141,999","2,347","3,218","5,233","5,699","5,892","6,948","7,155","6,400","8,242","9,897","11,072","13,116","12,969","14,976","11,348","7,893","5,064","3,094","1,161","231","44"
"부산광역시 금정구 (2641000000)","205,341","205,341","3,025","4,570","7,054","8,259","13,159","12,205","10,963","9,543","10,850","14,005","15,150","17,748","18,214","20,220","15,870","11,191","7,310","4,198","1,476","290","41","99,640","99,640","1,485","2,307","3,563","4,160","6,686","6,924","6,072","4,985","5,542","7,053","7,455","8,390","8,605","9,327","7,117","4,899","3,116","1,497","399","49","9","105,701","105,701","1,540","2,263","3,491","4,099","6,473","5,281","4,891","4,558","5,308","6,952","7,695","9,358","9,609","10,893","8,753","6,292","4,194","2,701","1,077","241","32"
"부산광역시 강서구 (2644000000)","154,782","154,782","7,194","9,469","11,365","7,540","4,394","6,291","10,684","13,681","16,945","15,378","10,436","8,968","8,354","9,492","6,596","3,918","2,210","1,293","459","105","10","80,008","80,008","3,636","4,865","5,853","3,833","2,388","3,433","5,557","6,901","8,839","8,447","5,839","4,765","4,179","4,689","3,312","1,964","967","427","94","18","2","74,774","74,774","3,558","4,604","5,512","3,707","2,006","2,858","5,127","6,780","8,106","6,931","4,597","4,203","4,175","4,803","3,284","1,954","1,243","866","365","87","8"
